title,company,job_location,job_state,date,site,job_description,salary,url,applied,search_term,flat_skills,skills_by_category
Full Stack Engineer (Remote),Adapt,"Remote in San Francisco, CA","remote in san francisco, ca",2025-10-08,Indeed,"About Adapt
Adapt is the AI brain of your business. It unifies every data source—databases, SaaS tools, support tickets, documents, and more—into a single conversational interface that delivers the highest level of intelligence the AI industry has to offer. Our autonomous agents continuously monitor KPIs, surface anomalies, diagnose root causes, and recommend next steps so organizations can act decisively. We serve startups and SMBs looking to move from endless dashboards and noisy AI to evidence-backed insight and action.

About the role
As Adapt’s Front-end Developer, you’ll own the look, feel, and performance of our web and embedded chat interfaces. You’ll translate product requirements into polished, responsive user experiences that let business leaders and analysts interact intuitively with AI-driven insights.

What you'll do
Develop an agent runtime for orchestrating multi-agent pipelines for data integration and analysis.
Implement server-side logic and APIs with Node to power core product features.
Build secure and scalable container sandboxes for code execution.
Implement context management systems built on object storage and vector databases such as pgvector.
Build interactive and rich frontend interfaces using Tailwind and Next.js.
Work closely with product, design, and AI researchers to prototype and launch new features.
Qualifications
5+ years of experience building large scale systems and platforms.
Experience working with containers, container runtimes, and virtualization. Comfortable working with container orchestration systems such as Kubernetes.
Strong Typescript/Node background and a language-agnostic approach to problem solving.
Nice-to-Haves
Exposure to AI/ML APIs or productionizing ML systems.
Familiarity model and agent evaluations.
Knowledge of security best-practices for containerized execution of untrusted code.

The pay range for this role is:
200,000 - 250,000 USD per year(San Francisco, California)",N/A,https://www.indeed.com/rc/clk?jk=d3a88d27c7170932&bb=iiRSLwj2yVUKRH8CTFqba2SxfshUa2vY5Z2fpHBh2o4rZmDU6lyOlyrI8re5oTuaBhIiTqO4f43c92YHY44ctryguH4zeBMDN8omGULyFXsbqxwHbq_HfiTyMKjE0zCCKlDNN5Idhj4rrAjeEpgRwg%3D%3D&xkcb=SoBk67M3si8r1nywo50LbzkdCdPP&fccid=ecc9ed121f7c4676&vjs=3,False,vue.js developer,"['ai', 'dashboards', 'kpis', 'kubernetes', 'ml', 'problem solving', 'security', 'typescript']",{}
Fullstack Developer at Firefly Lab,Firefly Lab,Remote,remote,2025-10-08,Indeed,"Job Posting: Fullstack Developer at Firefly Lab
Location: Remote
Type: Full-Time (but part-time or consulting roles are also available)
Salary: Competitive, based on experience
About Firefly
At , we’re revolutionizing competency-based medical education by building the data science foundation to train doctors. Although many jobs posts claim a company to be revolutionizing a field, in this case it’s definitely true. We have contracts with multiple medical boards for national-scale projects, and we founded the academic field of epistomics (“episteme” + “omics”), a big-data computational strategy for optimizing education and human performance. Our mission is to empower medical and surgical education with innovative technology for accelerating learning in busy hospital settings, and ensuring healthcare professionals are equipped with the skills and knowledge to excel in patient care. Join our passionate team to make a meaningful impact on the future of medicine!
The Role
We’re seeking a talented Fullstack Developer to design, develop, and maintain scalable web applications that power our educational platform. You’ll work closely with our data science and education teams to create intuitive tools that support medical training and competency assessment.
Key Responsibilities
Design and implement responsive, user-friendly front-end interfaces using Svelte (or Vue, React, or similar frameworks if desired).
Develop robust back-end services and APIs using Sveltekit fullstack framework (or NodeJS).
Manage and optimize relational databases (PostgreSQL) to ensure data integrity and performance.
Collaborate with cross-functional teams to integrate data science models into the platform.
Write clean, maintainable, and well-documented code following best practices. (We love to keep things simple and straightforward.)
Contribute to system architecture decisions and ensure scalability and reliability.
Participate in code reviews, testing, and deployment processes, but without extra bureaucratic process or burdensome extra meetings.
What We’re Looking For
Friendly and easy to work with.
Comfort with working remotely.
Experience:
2+ years of professional experience as a Fullstack Developer or similar role.
Strong proficiency in NodeJS for back-end development.
Experience in Svelte or another modern front-end framework (e.g. Vue, React, Solid).
Experience with PostgreSQL or another relational database (e.g., MySQL, MariaDB).
Familiarity with RESTful APIs or similar technologies.
Knowledge of version control systems (e.g., Git) and CI/CD pipelines.
Strong problem-solving skills and ability to work in a fast-paced, collaborative environment.
Passion for education and healthcare technology is a plus!
Nice-to-Haves
Experience with configuring an application on AWS or other cloud platforms (e.g., Azure, GCP).
Understanding of security best practices for web applications.
Some knowledge of containerization (e.g., Docker, Kubernetes).
Familiarity with data science tools or workflows (e.g., Python, Pandas, Jupyter, PyTorch).
Any experience with medical electronic health record (EHR) systems, especially data integrations with EHR systems.
Why Join Firefly?
Be part of a mission-driven team transforming medical education.
Work on cutting-edge technology that has a significant positive impact.
Enjoy a flexible, remote-friendly work environment.
Collaborate with a diverse team of engineers, data scientists, physicians, and educators.
Competitive salary, benefits, and opportunities for growth.
How to Apply
If you’re excited about building technology that shapes the future of medical education, we’d love to hear from you! Please submit your resume and a brief cover letter to jobs@fireflylab.org.
Firefly is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.
Job Types: Full-time, Part-time, Contract
Work Location: Remote",N/A,https://www.indeed.com/rc/clk?jk=de4e2e64b4b39791&bb=iiRSLwj2yVUKRH8CTFqbaw8uuLR59eAq3hM21d0JRmjA-3c3LzBg2a3CE0VzT-t5ZRDEvIgVwTDFCnWKTTomCAp2v5nx8qiojtawSs2TeF8VPmhterEHcPZI7xlLJOORi12U0YOPnD-OG93I1ZUkuA%3D%3D&xkcb=SoDQ67M3si8r1nywo50KbzkdCdPP&fccid=ba79b8950a853494&cmp=Firefly-Lab&ti=Full+Stack+Developer&vjs=3,False,vue.js developer,"['aws', 'azure', 'ci/cd', 'cross-functional teams', 'data science', 'docker', 'gcp', 'git', 'jupyter', 'kubernetes', 'mysql', 'pandas', 'postgresql', 'python', 'pytorch', 'react', 'scalability', 'security', 'testing']",{}
Senior Front End Web Developer - Contract,Thorium Digital,Remote,remote,2025-10-08,Indeed,"Candidate applying for the role
Thorium Digital is a growing digital agency that has provided services to clients from startups to Fortune 500 companies. We are comprised of self-motivated, professionally sharp and team work oriented individuals. You will be working in a collaborative and flat structured environment where there are plenty of opportunities to learn and grow with us.
The Senior Front End Web Developer must have a strong technical foundation as well as a full understanding of common coding standards, configuration management, and full life cycle systems development. This individual must have senior and lead level developer experience.
The Senior Front End Web Developer is an experienced contract remote role. The candidate must have minimum 8 years of experience working as a Front End Web Developer, and must have strong experience in React, TypeScript, and working with Node.js and Node.js Frameworks - Next.js, with some backend web experience. Must have experience working with headless CMS solution. Must have experience with Website Accessibility and building websites meeting WCAG 2.1 A/AA standards. The candidate must be able to work effectively with our client’s technical leads, our other in-house developers, and non-technical staff. This person would have strong communication skills and possess the ability to present complex technical information to a wide range of audiences, from other technical staff to senior management. Individual should be a fast learner of new technologies, be a creative thinker, share skills and information freely, and be able to mentor and train other developers.
Essential duties and responsibilities
Participate in the full project delivery, including planning meetings, estimations, design sessions and development.
Deliver project assignments on time, within budget and with high quality.
Understand and analyze project risks and provide risk mitigation.
Work as part of a team to help define technical requirements, explain the capabilities and limitations of various systems, and generate diagrams/documentation for internal and client use.
Provide assistance, training, and/or mentoring to the other developers and other team members. Document daily progress on work items & communicate to appropriate stakeholders.
Work out of hours, when appropriate, to support major implementations or to react to high priority service issues.
Guide development of tools, infrastructure, and processes within the configuration, build and release process.
Decompose high-level information into details and abstract up from low-level information to resolve solution vs. requirements conflicts.
Provide expertise in determining the strategic technical direction and system architecture for projects, as needed.
Translate design materials (Photoshop, Figma, etc.) into HTML/CSS.
Other duties as assigned.
Minimum qualifications
Minimum 8 years of experience working as a Front End Web Developer.
Strong experience in ReactJS, TypeScript, HTML5, JavaScript, and CSS.
Minimum 5 years of React experience.
Strong experience working with Node.js and Node.js Frameworks - Next.js.
Experience working with headless CMS solution. Contentful is preferred.
Experience working with Shopify, experience with Hydrogen is a plus.
Experience with Website Accessibility (WCAG 2.1 meeting A/AA standards).
Experience with SEO best practices.
Experience with performance optimization techniques for front-end code.
Working knowledge of Figma, Photoshop, and/or Illustrator.
Experience with agile and scrum methodologies.
Be detailed oriented and must be able to multi-task, manage details, and keep sight of overall objectives.
Able to work well under pressure and meet tight deadlines within a dynamic environment.
Must possess an exceptional ability to effectively communicate both verbally and nonverbally, with technical and non-technical personnel.
Strong work ethic, positive attitude, and a desire to work in a challenging position.
Individual must have a strong technical foundation as well as a full understanding of common coding standards and configuration management.
Understand the complete deployment life cycle from design, build, test, and deployment.
Experience with cloud computing configuration and administration (Vercel, AWS, or Azure).
Experience with platforms like Algolia, Dynatrace, Siteimprove, and Google Analytics is a plus.
Familiarity with one or more version control systems (Git, Bitbucket).
Technical knowledge of PHP/PHP Frameworks (e.g. Laravel or Lumen), Object-Oriented programming, design patterns, and best practices.
Excellent analytical and creative problem-solving skills.
Experience in Azure DevOps for version control and building pipelines is a plus.
Must be able to speak English fluently.
Authorized to work in the US without sponsorship.
mTq4ynPrZi",N/A,https://www.indeed.com/rc/clk?jk=f211609500922fe9&bb=iiRSLwj2yVUKRH8CTFqba6-lgkrxVCwneKc02M2EERMYq3-qEyFxZrZyxTN0E6Z6hStPqKduyKo9In2f_Tcg56dkR3PLDQ4lb_pKV1fRNy8kXInjGL4URXnhj8yo6IVbcNbcvOl7uvjrxo39lPMpQw%3D%3D&xkcb=SoBN67M3si8r1nywo50JbzkdCdPP&fccid=a3d2d7fe188b5cb9&vjs=3,False,vue.js developer,"['accessibility', 'agile', 'analytics', 'aws', 'azure', 'bitbucket', 'cms', 'communication', 'css', 'design patterns', 'devops', 'documentation', 'figma', 'git', 'html', 'illustrator', 'javascript', 'laravel', 'mentoring', 'node.js', 'performance optimization', 'photoshop', 'php', 'react', 'scrum', 'seo', 'shopify', 'typescript', 'vercel', 'wcag']",{}
Backend Engineer: Partnership Integrations Team,Constructor,Remote,remote,2025-10-08,Indeed,"About us
Constructor is the next-generation platform for search and discovery in ecommerce, built to explicitly optimize for metrics like revenue, conversion rate, and profit. Our search engine is entirely invented in-house utilizing transformers and generative LLMs, and we use its core and personalization capabilities to power everything from search itself to recommendations to shopping agents. Engineering is by far our largest department, and we’ve built our proprietary engine to be the best on the market, having never lost an A/B test to a competitive technology. We’re passionate about maintaining this and work on the bleeding edge of AI to do so.
Out of necessity, our engine is built for extreme scale and powers over 1 billion queries every day across 150 languages and roughly 100 countries. It is used by some of the biggest ecommerce companies in the world like Sephora, Under Armour, and Petco.
We’re a passionate team who love solving problems and want to make our customers’ and coworkers’ lives better. We value empathy, openness, curiosity, continuous improvement, and are excited by metrics that matter. We believe that empowering everyone in a company to do what they do best can lead to great things.
Constructor is a U.S. based company that has been in the market since 2019. It was founded by Eli Finkelshteyn and Dan McCormick who still lead the company today.
About the position
As a backend engineer on the Partnership Integrations team, you’ll be working to maintain and develop streamlined integrations between Constructor and partner platforms. Your specific responsibilities will include:
Writing and deploying code across the front and backend, mainly in TypeScript / JavaScript
Interfacing with engineering teams at partner companies to develop connecting integrations
Working with data exposed via interfaces such as REST, GraphQL, FTP, etc
Supporting teammates with thorough and thoughtful code reviews
Influencing the development of new features in our UI and SDK libraries
Enforcing strong code stability through testing (unit tests, integration tests, etc
Coordinating with other teams to prioritize partnership integrations needs
Requirements
A minimum of two years of professional and/or academic experience in software engineering
Excellent communication and interpersonal skills
Located in or between GMT-3 and GMT+3 timezones
Experience architecting efficient server-side applications
Strong foundation and experience with server-side and client-side integrations
Enjoys interacting with external stakeholders and solving new problems daily
Able to pick up new technologies, languages and design patterns quickly and love learning them
(Strong bonus) Experience with data processing pipelines and ETL processes
(Bonus) Experience with front-end frameworks like React, Vue, Angular, etc.
Benefits
️ Unlimited vacation time - we strongly encourage all of our employees take at least 3 weeks per year
Fully remote team - choose where you live
️ Work from home stipend! We want you to have the resources you need to set up your home office
Apple laptops provided for new employees
‍
Training and development budget for every employee, refreshed each year
Maternity & Paternity leave for qualified employees
Work with smart people who will help you grow and make a meaningful impact
This position has a base salary range between $80k and $120k USD. The offer varies on many factors including job related knowledge, skills, experience, and interview results.
Regular team offsites to connect and collaborate
Diversity, Equity, and Inclusion at Constructor
At Constructor.io we are committed to cultivating a work environment that is diverse, equitable, and inclusive. As an equal opportunity employer, we welcome individuals of all backgrounds and provide equal opportunities to all applicants regardless of their education, diversity of opinion, race, color, religion, gender, gender expression, sexual orientation, national origin, genetics, disability, age, veteran status or affiliation in any other protected group.
Studies have shown that women and people of color may be less likely to apply for jobs unless they meet every one of the qualifications listed. Our primary interest is in finding the best candidate for the job. We encourage you to apply even if you don’t meet all of our listed qualifications.",N/A,https://www.indeed.com/rc/clk?jk=f8439a55a97355b8&bb=iiRSLwj2yVUKRH8CTFqba9_-IvW67R-NDIUOzCfFRac7UP08OnRSdJzNBxfifKwhOY0m2Nj6p388eKBco3CX-XzZDFF9tuoU9nSPo0iH3m2MH6a9d9k6AJ1K4mJY7it8CYvhe-bZIqjl9CeBWSs9OA%3D%3D&xkcb=SoD567M3si8r1nywo50IbzkdCdPP&fccid=d58172edef0ca33f&vjs=3,False,vue.js developer,"['ai', 'angular', 'communication', 'design patterns', 'etl', 'ftp', 'graphql', 'javascript', 'metrics', 'react', 'testing', 'typescript']",{}
Node TS + React TS + LLM Agents | Full Stack Developer,S.A.G.A Corp,Remote,remote,2025-10-08,Indeed,"You're built for big things, not endless marketing tasks. At SAAGA Solve, our intelligent agents manage all the tricky parts of getting noticed on search and social media, so established businesses and growing startups can truly focus on what they do best - innovating, building, and serving their customers.
We’re hiring a senior full-stack engineer to help us build AI-powered products end-to-end. You’ll own features from rough idea to production: architecture, implementation, testing, release, and iteration. The work spans modern web (Node.js, React, Next.js, TypeScript) and LLM agents (tooling, function calling, integrations, evaluation, and reliability).
You’ll thrive here if you: (a) write clean, production-grade code fast, (b) treat tests and monitoring as part of “done,” (c) think like a founder—challenge assumptions, propose better paths, make decisions with incomplete data, and ship. We’re an A-player team; we expect proactive ownership, direct communication, and the courage to push back when something isn’t right.
What success looks like:
In first weeks days: ship a user-visible feature, add/extend an agent tool, and land solid PRs with strong tests.
In first Q days: lead a small project across front-end, back-end, and an LLM integration (OpenAI/Anthropic/Gemini or Vercel AI SDK/OpenRouter), with metrics and basic evals.
Be a go-to owner for a product slice, raising code quality, performance, and reliability while mentoring others on agent patterns.
Requirements
12+ years professional software engineering experience delivering production systems.
Full-stack depth: Node.js, React.js, Next.js, and TypeScript at an expert level (types as design, not decoration).
AI/LLM agents: hands-on experience building agents with function/tool calling, multi-tool orchestration, retries, cost/latency trade-offs, and safety/guardrails. Comfortable with prompt design, schema design, and deterministic interfaces.
APIs & SDKs: strong with OpenAI, Anthropic, Google Gemini; plus nice to have one of Vercel AI SDK or OpenRouter. Able to design clean abstraction layers over external models/tools.
Systems & product thinking: convert fuzzy requirements into simple, resilient architectures. Bias to ship; know when to spike, when to harden.
Testing discipline: writes your own unit, integration, and happy-path/end-to-end tests; partners with QA for edge-cases and complex scenarios. “It works on my machine” is not done.
Quality in production: observability (logs/metrics/traces), feature flags, canary/rollbacks, performance profiling, and error budgets are familiar tools, not buzzwords.
Data & storage: practical experience with REST/GraphQL, Webhooks, background jobs/queues, caching, and at least one SQL database. Comfortable with pagination, idempotency, and rate-limit strategies.
Security & privacy: sound judgment around secrets, authZ/authN, PII handling, and least-privilege by default.
AI-assisted development: enthusiastic and effective using AI for coding/review/testing, while maintaining rigorous standards and architectural sense.
Collaboration: crisp written communication, clear PRs, structured RFCs, and constructive code reviews.
Founder mindset: proactive, decisive, comfortable with uncertainty. Preferred: familiarity with Y Combinator content/principles (default alive, talk to users, build/measure/learn).
Nice to have (not required): RAG pipelines, vector DBs, lightweight eval harnesses, prompt/version management, streaming UX, and cost telemetry.
Benefits
Competitive Rate
Work From Home
Training & Development
Equity Plan
Career Opportunities
Core Team",N/A,https://www.indeed.com/rc/clk?jk=76570cf0ed7ec13a&bb=iiRSLwj2yVUKRH8CTFqbazbq3jtcC58rDpLfP0xyyJaOwl9jTreXZUmvduuTq64kxREhQp2rOs0aDC5_azsyVutRph42XFp_L_tq1PbbcuMg16YoLWhgEiHnt9lPlD0fKP0PvX0MUuXUbj4uKi-Q8Q%3D%3D&xkcb=SoB367M3si8r1nywo50PbzkdCdPP&fccid=e71a58404582e1b3&vjs=3,False,vue.js developer,"['ai', 'caching', 'code quality', 'collaboration', 'communication', 'go', 'graphql', 'mentoring', 'metrics', 'monitoring', 'node.js', 'observability', 'react', 'security', 'social media', 'sql', 'streaming', 'testing', 'typescript', 'vercel']",{}
Shopify Architect,United Softw,Remote,remote,2025-10-08,Indeed,"Title: Shopify Architect
Location: Remote
Description:
We are seeking a highly Shopify Architect with a strong background in eCommerce platforms, particularly Shopify. The ideal candidate will play a key role in designing, developing, and maintaining high-performance web applications that drive exceptional user experiences and business outcomes.
Required Qualifications:
5+ years of professional experience in front-end or full stack development.
Strong proficiency in HTML, CSS, JavaScript, and modern frameworks (React, Vue, etc.).
Proven experience with Shopify development, including Liquid templating, theme customization, and app integration.
Familiarity with RESTful APIs, GraphQL, and headless commerce architectures.
Experience with version control systems (e.g., Git) and agile development methodologies.
Excellent problem-solving skills and attention to detail.
Strong communication and collaboration abilities.
Key Responsibilities:
Lead the development of scalable, responsive web applications using modern front-end frameworks (e.g., React, Vue.js).
Build and customize Shopify themes, apps, and integrations to support commerce functionality.
Collaborate with cross-functional teams including design, product, and backend engineering to deliver seamless user experiences.
Optimize application performance, accessibility, and SEO.
Implement and maintain CI/CD pipelines and version control best practices.
Troubleshoot and resolve technical issues across the stack.
Stay current with emerging technologies and industry
Regards
Krishna
Job Type: Contract
Pay: $70.00 - $75.00 per hour
Work Location: Remote",N/A,https://www.indeed.com/rc/clk?jk=5a7dd4a6d5c847d1&bb=iiRSLwj2yVUKRH8CTFqba7O_1yMv9B9_LniEr2sd8ggiC45kRji1lexaEYzotbsIJdywhL12SliY2gjbhfGYJnHaZ4vRwbZs4e76Ic4_JWPQpO8dx-vPs1cIGxPXgUxe_Q58_kNtvWKqmOYFZH34sQ%3D%3D&xkcb=SoDD67M3si8r1nywo50ObzkdCdPP&fccid=91392fe756c65545&cmp=United-Softw&ti=Architect&vjs=3,False,vue.js developer,"['accessibility', 'agile', 'attention to detail', 'ci/cd', 'collaboration', 'communication', 'cross-functional teams', 'css', 'git', 'graphql', 'html', 'javascript', 'react', 'seo', 'shopify', 'vue.js']",{}
Block chain Graph Eng,Ehub Global solution,Remote,remote,2025-10-08,Indeed,"Job : Block chain Graph Eng
Location : Remote
Type : Contract
Description
We are seeking a highly skilled and adaptable Full Stack Engineer with deep experience in Web3 technologies to join our growing engineering team. This role is ideal for someone who thrives in a fast-paced, startup-like environment and is comfortable contributing across the stack—from smart contracts to frontend interfaces, backend services, and infrastructure. You’ll be empowered to work on whatever is needed, including introducing new backend systems and components.
Responsibilities
Design, develop, test, and deploy smart contracts using Solidity (bonus for Rust-based smart contracts).
Build and maintain frontend applications using Next.js, React, TypeScript, Wagmi, and Viem.
Develop and manage backend services, including REST APIs, using Node.js, Rust, Go, or other modern frameworks.
Implement and maintain subgraphs and substreams (The Graph) for on-chain data indexing and querying.
Write and maintain scripts (JavaScript, Bash, etc.) for automation, tooling, and DevOps tasks.
Contribute to and maintain infrastructure using Docker, Kubernetes, and CI/CD pipelines.
Collaborate with cross-functional teams to define, design, and ship new features and systems.
Participate in code reviews, testing, and documentation to ensure high-quality software.
Stay current with the latest developments in Web3, blockchain, and infrastructure tooling.
Requirements
5+ years of experience in software development across the stack.
2+ years of experience with Solidity and smart contract development.
Proficiency in Rust (especially for backend or smart contracts).
Strong experience with TypeScript, React, Next.js, Wagmi, and Viem.
Experience building and consuming REST APIs.
Familiarity with subgraphs and substreams for blockchain data indexing.
Scripting experience with JavaScript, Bash, or similar.
Solid understanding of containerization and orchestration tools like Docker and Kubernetes.
Experience with version control (Git), testing frameworks, and CI/CD pipelines.
Ability to work independently and take ownership of projects from concept to production.
Strong problem-solving skills and a collaborative mindset.
Bonus Experience
Experience with Chainlink tools, including CCIP, Data Feeds, VRF, and Automation.
Experience with multi-chain or cross-chain smart contract development.
Familiarity with DeFi protocols, on-chain financial primitives, or tokenomics.
Experience with infrastructure-as-code tools (e.g., Terraform, Helm).
Contributions to open-source Web3 projects.
Background in distributed systems, event-driven architectures, or data streaming.
Experience with GraphQL, PostgreSQL, or NoSQL databases.
Thanks & Warm Regards
Ashok Kumar
Tanisha Systems Inc.
99 Wood Ave South, Suite # 308, Iselin, NJ 08830
Desk: (732) 746-0367* 603
Email Id: Ashok.Kumar@tanishasystems.com
Job Type: Contract
Pay: $42.91 - $51.67 per hour
Work Location: Remote",N/A,https://www.indeed.com/rc/clk?jk=72d66b3b0b368794&bb=iiRSLwj2yVUKRH8CTFqba2qVnIzfrp-xGx7fhwRodQdo4SfFA8Prc7UNz9N7cSroFNtPPtRRqynMbXO_mzUzZxKZHxZ9Mf0hs7KWCaH2636BaxDCDzUMpTffaF4xd0VepJt0ah0hW0ak1jQBhAlnNg%3D%3D&xkcb=SoBe67M3si8r1nywo50NbzkdCdPP&fccid=69343c070cec3ff2&cmp=Ehub-global-solution&ti=Engineer&vjs=3,False,vue.js developer,"['automation', 'bash', 'blockchain', 'ci/cd', 'cross-functional teams', 'defi', 'devops', 'docker', 'documentation', 'git', 'go', 'graphql', 'javascript', 'kubernetes', 'node.js', 'postgresql', 'react', 'rust', 'smart contracts', 'solidity', 'streaming', 'terraform', 'testing', 'typescript', 'web3']",{}
,,,,2025-10-08,Indeed,N/A,N/A,https://www.indeed.com/viewjob?jk=abcdef0123456789,False,vue.js developer,[],{}
Senior Backend Developer - PHP Laravel,Newrich Network,"Remote in Austin, TX","remote in austin, tx",2025-10-08,Indeed,"Company Overview
At NewRich Network, we empower digital entrepreneurs to turn their dreams into reality. Our mission is simple yet bold: to help people create a balanced, fulfilling lifestyle – while building wealth and independence along the way.
We’re a fast-growing team driven by one vision: a world where anyone can work remotely, chase their passion, and live life on their own terms.
Our platform combines SaaS tools, e-learning programs, and a supportive social network – a one-stop ecosystem designed for creators, entrepreneurs, and dreamers who want more than just a career.
We believe fulfilling work and a healthy work-life balance is key to living a NewRich Lifestyle.
If you’re motivated, ambitious, and ready to grow with us, we want to hear from you!
Stack: 80% PHP (Laravel, MySQL) / 20% React.
Requirements
5+ years as Software Developer with proven project track record.
Strong knowledge of PHP 8, Laravel 9+, MySQL, React.js 18.2 (or any other frontend framework).
Experience with HTML/CSS/JS, RESTful APIs, Git.
Docker/Kubernetes, AWS (or similar cloud).
Solid database design and optimization skills.
Strong problem-solving, communication, and ability to work independently.
Experience with PHPUnit or similar testing frameworks.
Good understanding of web app security.
Fluency in English (written & spoken).
Nice to have:
WebRTC, FFMPEG, HLS, SRT, RTMP, DRM.
Node.js/Express, GitHub Actions.
NoSQL (MongoDB, Redis).
DevOps practices.
Personal qualities:
Self-driven, motivated, reliable in a fast-paced environment.
Responsibilities:
Develop and maintain server-side applications (PHP 8, Laravel, MySQL).
Build and optimize APIs, ensure performance, scalability, and security.
Implement front-end features with React.js (18.2).
Work with CI/CD pipelines, automated testing, and code reviews.
Collaborate with cross-functional teams, mentor juniors.
Manage integrations between systems and cloud services (AWS).
Maintain documentation, database schemas, and ensure security best practices.
Benefits
Paid Adventure Time – Take an all-expenses-paid remote working trip for 3 weeks to a destination of your choice with one of our remote work-trip partners. On top of that, you’ll have “Me-Days” – flexible personal days you can take whenever you need a reset.
Fast Growth, Big Upside – We’re a small, ambitious team. That means more ownership, faster learning, and a real chance to shape the future of our company (and your career).
Unlimited Learning – You’ll get full access to every course and program on our NewRich platform. We invest in your growth because your growth fuels ours.
Home Office Stipend – Your setup matters. We’ll support you with a budget to create your ideal workspace and provide you with a new MacBook to power your productivity.
Annual Retreat – Work remote, but meet the team IRL. Every year we gather in amazing locations – next stop: Colombia.
Excited about this role?
Explore more at https://newrich.com/
We’d love to hear from you!",N/A,https://www.indeed.com/rc/clk?jk=68995b25438708d3&bb=iiRSLwj2yVUKRH8CTFqba0gjU03pYOk05a9KGw8QJLioxDDrhjSveDrU9EHB7R-6uPeG-5wbFHvJggctqA8Qen9Vcxt6vtyk25NYuT0CzSSzK-APDkL9po15Y-BXVdYs6zEkkLQjJU1tA1M7_PR-OQ%3D%3D&xkcb=SoDq67M3si8r1nywo50MbzkdCdPP&fccid=8c99d8961fcc5d10&vjs=3,False,vue.js developer,"['aws', 'ci/cd', 'communication', 'cross-functional teams', 'css', 'devops', 'docker', 'documentation', 'git', 'github', 'github actions', 'html', 'kubernetes', 'laravel', 'mongodb', 'mysql', 'node.js', 'php', 'react', 'redis', 'remote work', 'scalability', 'security', 'testing']",{}
Software Engineer,Justhire Technology,Remote,remote,2025-10-08,Indeed,"Job Overview
We are seeking a Mid-Level Software Engineer to join our client’s dynamic development team. This role is ideal for someone with solid hands-on coding skills, proven experience in building scalable applications, and a strong interest in collaborating with cross-functional teams to deliver high-quality software solutions.
Key Responsibilities
Design, develop, test, and deploy high-quality software applications using modern programming languages and frameworks.
Collaborate with product managers, architects, and QA teams to translate business requirements into technical solutions.
Maintain and enhance existing applications by troubleshooting, debugging, and upgrading.
Write clean, maintainable, and efficient code following best practices and coding standards.
Participate in code reviews, ensuring adherence to quality and security guidelines.
Contribute to the continuous improvement of software development processes (Agile/Scrum).
Integrate third-party APIs, tools, and services to extend application functionality.
Support application deployment in cloud or hybrid environments (AWS, Azure, or GCP).
Required Qualifications
Bachelor’s degree in Computer Science, Engineering, or related field (or equivalent experience).
3–5 years of professional software development experience.
Proficiency in Java, Python, C#, or Node.js (depending on client’s tech stack).
Experience with front-end frameworks (React, Angular, or Vue.js).
Strong knowledge of object-oriented programming, data structures, and algorithms.
Hands-on experience with CI/CD pipelines, Git, and Agile methodologies.
Familiarity with cloud platforms (AWS, Azure, or GCP) and containerization (Docker/Kubernetes).
Excellent problem-solving and communication skills.
Skills
Proficiency in programming languages: JavaScript, Java, C#, Python, Ruby on Rails, C++, .NET, and C.
Strong understanding of front-end development principles and frameworks.
Experience with application development and software development life cycles.
Familiarity with RESTful APIs and their integration into applications.
Knowledge of version control systems such as GitHub and SVN.
Experience working in Linux environments is advantageous.
Understanding of cloud computing platforms like AWS or Azure is a plus.
Ability to write scripts using VBA for automation tasks is desirable. If you are passionate about technology and eager to contribute to exciting projects within a collaborative environment, we encourage you to apply for this opportunity as a Software Engineer.
Job Type: Full-time
Pay: $116,802.40 - $175,665.25 per year
Benefits:
401(k)
401(k) matching
Health insurance
Paid sick time
Parental leave
Referral program
Retirement plan
Work from home
Work Location: Remote",N/A,https://www.indeed.com/rc/clk?jk=338c767fa5624559&bb=iiRSLwj2yVUKRH8CTFqbaz6syVw5V6nPqaNH6nxF_0yz87Qk30uhQcmi5W9xVXOgz15DqmcEkcgWfQC1SR1-12xF_4JzdP2RU7Un7Wor7wZOKQLl2-weH7kMl4UbYL_q8a0ZtvVx-AJTKobSQEeH-A%3D%3D&xkcb=SoAD67M3si8r1nywo50DbzkdCdPP&fccid=eb8af5bfe4f89575&cmp=Justhire-Technology&ti=Software+Engineer&vjs=3,False,vue.js developer,"['agile', 'angular', 'automation', 'aws', 'azure', 'ci/cd', 'communication', 'cross-functional teams', 'docker', 'gcp', 'git', 'github', 'java', 'javascript', 'kubernetes', 'linux', 'node.js', 'python', 'react', 'ruby', 'ruby on rails', 'scrum', 'security', 'svn', 'troubleshooting', 'vue.js']",{}
